cycle_id,start_time,end_time,start_price,start_equity,end_equity,net_pnl,net_return,exit_reason,max_safety_depth,max_notional,fees,slippage_cost,funding_cost,gross_realized_pnl,ambiguous_bars
49,2024-02-26 20:00:00+00:00,2024-02-27 01:40:00+00:00,54558.465599999996,2138.00446987263,2138.96764825013,0.9631783774998439,0.00045050344425012767,trailing_stop_same_bar,0,277.0,0.27341062250000003,0.2734109999999782,0.0,1.2365890000000217,1
50,2024-02-27 04:00:00+00:00,2024-02-27 10:00:00+00:00,55800.986549999994,2138.96764825013,2142.120703678755,3.1530554286250663,0.0014741015046229045,trailing_stop,0,284.0,0.280721821375,0.2807227499999499,0.0,3.4337772500000576,0
51,2024-02-27 12:00:00+00:00,2024-02-27 12:40:00+00:00,56609.6907,2142.120703678755,2144.454987404505,2.3342837257500832,0.0010897069066841958,trailing_stop_same_bar,0,287.47150000000005,0.28435777425000003,0.2843584999999803,0.0,2.6186415000000127,1
52,2024-02-27 16:00:00+00:00,2024-02-27 19:50:00+00:00,56803.48755,2144.454987404505,2146.7233981142554,2.268410709750242,0.0010578029024035374,trailing_stop_same_bar,0,288.3975,0.28529429025,0.28529499999996916,0.0,2.5537050000000456,1
53,2024-02-27 20:00:00+00:00,2024-02-28 07:50:00+00:00,57419.39534999999,2146.7233981142554,2148.9132253058806,2.189827191625227,0.0010200788762766422,trailing_stop_same_bar,0,292.36400000000003,0.288336058375,0.288336749999944,0.0,2.4781632500000708,1
54,2024-02-28 08:00:00+00:00,2024-02-28 08:50:00+00:00,58329.04995,2148.9132253058806,2151.8951586980056,2.981933392125029,0.0013876471869638252,trailing_stop_same_bar,0,296.8695,0.293282857875,0.2932837499999732,0.0,3.275216250000012,1
55,2024-02-28 12:00:00+00:00,2024-02-28 13:05:00+00:00,59026.8987,2151.8951586980056,2153.5584297618807,1.6632710638750723,0.0007729331315942112,trailing_stop_same_bar,0,300.425,0.296114186125,0.29611474999997883,0.0,1.9593852499999775,1
56,2024-02-28 16:00:00+00:00,2024-02-28 16:50:00+00:00,61030.5,2153.5584297618807,2157.0358392847556,3.47740952287495,0.001614727269442895,trailing_stop_same_bar,0,311.075,0.3070447271250001,0.3070457499999975,0.0,3.784454249999981,1
57,2024-02-28 20:00:00+00:00,2024-02-28 23:10:00+00:00,61063.316399999996,2157.0358392847556,2160.5600886044344,3.524249319678802,0.0016338390190342444,trailing_stop_same_bar,0,310.857,0.30723232282125,0.30723335749993563,0.0,3.831481642500039,1
58,2024-02-29 00:00:00+00:00,2024-02-29 06:15:00+00:00,62519.14395,2160.5600886044344,2163.2958938979464,2.7358052935119304,0.0012662481862650843,trailing_stop_same_bar,0,317.3905,0.314120682738125,0.31412152374996366,0.0,3.049925976250015,1
59,2024-02-29 08:00:00+00:00,2024-03-04 00:25:00+00:00,62792.9808,2163.2958938979464,2166.3475958186964,3.05170192075002,0.0014106724509383994,trailing_stop_same_bar,0,319.515,0.31564857925,0.31564949999996317,0.0,3.3673505000000294,1
60,2024-03-04 04:00:00+00:00,2024-03-04 08:05:00+00:00,63555.761999999995,2166.3475958186964,2169.139925676446,2.7923298577497917,0.001288957442997285,trailing_stop_same_bar,0,324.556,0.31933464224999997,0.3193354999999428,0.0,3.1116645000000425,1
61,2024-03-04 12:00:00+00:00,2024-03-04 14:40:00+00:00,65346.55695,2169.139925676446,2171.268361539846,2.1284358633997726,0.0009812349301236978,trailing_stop_same_bar,0,265.51959999999997,0.2625817366,0.2625823999999848,0.0,2.3910176000000503,1
62,2024-03-04 16:00:00+00:00,2024-03-04 17:35:00+00:00,66538.65269999999,2171.268361539846,2173.9529273168027,2.684565776956788,0.0012364044097492588,trailing_stop_same_bar,0,270.5944,0.267630709043,0.26763151399994967,0.0,2.952196486000088,1
63,2024-03-04 20:00:00+00:00,2024-03-04 23:15:00+00:00,67516.94159999999,2173.9529273168027,2176.505167290603,2.5522399738001695,0.001174008848917607,trailing_stop,0,274.40000000000003,0.2714796262,0.27148039999994217,0.0,2.8237196000000697,0
64,2024-03-05 00:00:00+00:00,2024-03-05 13:25:00+00:00,68330.64825,2176.505167290603,2182.2618137099807,5.75664641937783,0.002644903630779849,trailing_stop,1,545.136,0.53899129598232,0.5389930046399822,0.0,6.295637715359917,0
65,2024-03-05 16:00:00+00:00,2024-03-06 05:05:00+00:00,66873.2199,2182.2618137099807,2186.806502694608,4.544688984627101,0.002082559001892026,trailing_stop_same_bar,2,779.8776,0.7706123209472131,0.7706138424259261,0.0,5.315301305574045,1
66,2024-03-06 08:00:00+00:00,2024-03-07 14:35:00+00:00,66792.67965,2186.806502694608,2189.731766360308,2.925263665700186,0.0013376874735353539,trailing_stop_same_bar,0,271.912,0.2687677343,0.26876860000001035,0.0,3.194031399999978,1
67,2024-03-07 16:00:00+00:00,2024-03-08 14:30:00+00:00,67350.85859999999,2189.731766360308,2191.832587420808,2.1008210605000386,0.0009593965310152885,trailing_stop_same_bar,0,273.596,0.27058913949999996,0.2705897999999579,0.0,2.3714102000000423,1
68,2024-03-08 16:00:00+00:00,2024-03-08 17:45:00+00:00,67719.6429,2191.832587420808,2194.022767304408,2.1901798835997397,0.0009992459716903213,trailing_stop_same_bar,0,275.0928,0.27210971640000003,0.272110400000005,0.0,2.46228959999996,1
69,2024-03-08 20:00:00+00:00,2024-03-10 09:55:00+00:00,68956.36094999999,2194.022767304408,2196.3482770603487,2.325509755940857,0.0010599296372835187,trailing_stop,0,279.9672,0.277126762059,0.2771274819999817,0.0,2.6026365180000433,0
70,2024-03-10 12:00:00+00:00,2024-03-11 07:10:00+00:00,69674.4198,2196.3482770603487,2197.1310193956483,0.7827423352996448,0.0003563835223561185,trailing_stop_same_bar,0,283.44,0.27922866469999996,0.27922899999999207,0.0,1.0619709999999614,1
71,2024-03-11 08:00:00+00:00,2024-03-11 11:50:00+00:00,71259.51194999999,2197.1310193956483,2199.6008602823167,2.4698408866684076,0.0011241208944143821,trailing_stop,0,289.3852,0.2864161763315,0.2864169369999435,0.0,2.7562570630001137,0
72,2024-03-11 12:00:00+00:00,2024-03-11 15:35:00+00:00,71594.3793,2199.6008602823167,2202.425142182354,2.8242819000374766,0.0012839974520082453,trailing_stop_same_bar,0,291.09000000000003,0.28793362496249997,0.28793447499995817,0.0,3.112215525000007,1
73,2024-03-11 16:00:00+00:00,2024-03-12 14:05:00+00:00,72097.33065,2202.425142182354,2204.139159555554,1.7140173732000221,0.000778240921960105,trailing_stop_same_bar,0,293.48,0.2893910268,0.28939159999997355,0.0,2.0034084000000147,1
74,2024-03-12 16:00:00+00:00,2024-03-12 18:50:00+00:00,71815.08959999999,2204.139159555554,2209.793177124134,5.654017568580002,0.002565181759993873,trailing_stop_same_bar,1,572.5360000000001,0.566278335388016,0.5662800320318784,0.0,6.220295903968043,1
75,2024-03-12 20:00:00+00:00,2024-03-13 07:25:00+00:00,71438.7015,2209.793177124134,2215.384352100276,5.591174976141701,0.00253018021506346,trailing_stop,0,293.2468,0.2886947408585,0.2886962829999393,0.0,5.8798697170000525,0
